YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,10,M,"9,366 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,10,M,"13,029 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,10,M,"4,155 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,10,M,"3,410 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,10,M,"7,523 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,10,M,"7,181 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,10,M,"6,566 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,10,M,"2,925 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,10,M,"2,791 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,10,M,"3,641 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,10,M,"25,669 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,7,F,"8,531 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,7,F,"5,892 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,7,F,"24,220 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,7,F,"35,554 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,7,F,"4,132 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,7,F,"9,063 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,7,F,"11,313 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,7,F,"16,426 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,7,F,"4,570 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,7,F,"4,220 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,7,F,"9,503 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,7,F,"8,544 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,7,F,"8,028 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,7,F,"3,770 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,7,F,"5,161 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,7,F,"4,676 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,7,F,"27,167 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,8,F,"8,611 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,8,F,"5,553 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,8,F,"22,459 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,8,F,"33,771 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,8,F,"4,161 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,8,F,"8,477 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,8,F,"10,524 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,8,F,"14,906 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,8,F,"4,712 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,8,F,"3,963 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,8,F,"9,037 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,8,F,"7,772 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,8,F,"7,630 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,8,F,"3,716 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,8,F,"4,215 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,8,F,"4,527 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,8,F,"25,630 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,9,F,"8,381 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,9,F,"5,452 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,9,F,"21,813 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,9,F,"31,979 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,9,F,"3,540 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,9,F,"7,834 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,9,F,"9,624 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,9,F,"13,607 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,9,F,"4,306 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,9,F,"3,690 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,9,F,"8,091 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,9,F,"7,612 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,9,F,"6,770 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,9,F,"3,453 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,9,F,"3,887 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,9,F,"4,115 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,9,F,"24,838 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,10,F,"8,033 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,10,F,"5,208 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,10,F,"21,202 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,10,F,"30,512 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,10,F,"3,464 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,10,F,"7,330 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,10,F,"9,242 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,10,F,"12,960 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,10,F,"4,229 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,10,F,"3,503 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,10,F,"7,572 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,10,F,"7,147 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,10,F,"6,700 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,10,F,"2,965 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,10,F,"3,425 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,10,F,"3,961 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,10,F,"25,194 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,NG,M,0 ,N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,NG,F,0 ,N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,NG,F,0 ,N,
2019-2020,JHS,Region I - Ilocos Region,PUBLIC,7,M,"49,397 ",Y,
